,Tweet,Original,Datetime,Username,Likes,Retweets,View,Hashtags,Sentiments
0,Algeria_Telecom: providing better services in 2020 and doubling turnover in 4 years   ,"#Algérie_Télécom : assurer de meilleures prestations en 2020 et doubler le chiffre d'affaires en 4 ans

https://t.co/Ls5WpcR4Be https://t.co/vYz7lgvjip",2019-12-29 19:45:01+00:00,APS_Algerie,57,3,,['Algérie_Télécom'],Positive
1,New Year celebration: special security plan to ensure public safety and serenity   ,"Célébration du nouvel an : plan sécuritaire spécial pour assurer la sécurité et la sérénité publiques

https://t.co/7CWNHZeHU2 https://t.co/nXai9btSRr",2019-12-29 19:30:06+00:00,APS_Algerie,35,1,,,Positive
2,African Champions League: USMA and JSK complicate the task   ,"Ligue des champions d'Afrique : l'#USMA et la #JSK se compliquent la tâche

https://t.co/MuvqbfluSs https://t.co/IcRrAbwo4z",2019-12-29 19:20:01+00:00,APS_Algerie,20,2,,"['USMA', 'JSK']",Neutral
3,The winter sales will start on January 18 in Algiers   ,"Les soldes d'hiver débuteront le 18 janvier prochain à Alger

https://t.co/eOIv9Maqfc https://t.co/taL7Pqb4W7",2019-12-29 19:05:36+00:00,APS_Algerie,43,1,,,Neutral
4,"The launch of the discount_sale_for_winter_season in Algiers, starting from January 18, 2020  ","إنطلاق عملية #البيع_بالتخفيض_للموسم_الشتوي بالجزائر العاصمة بداية من 18 يناير 2020
https://t.co/XFG5UZ2UFd https://t.co/V0Eq9Qu9ow",2019-12-29 18:43:02+00:00,APS_Algerie,52,5,,['البيع_بالتخفيض_للموسم_الشتوي'],Neutral
5,"The Prime Minister appoints Ibrahim Bozboujn and Mohamed Lamine Saudi Mabrouk, respectively, as director and head of his office.  ","#الوزير_الاول يعين ابراهيم بوزبوجن ومحمد لمين سعودي مبروك على التوالي مديرا ورئيسا لديوانه
https://t.co/fpPS52nlQJ https://t.co/DjReYUZNvp",2019-12-29 15:47:50+00:00,APS_Algerie,70,1,,['الوزير_الاول'],Neutral
6,"""Ogg"" surveys to choose the best athletes in 2019 You can view the competition categories and the list of proposed names via the following link:   ","سبر آراء ""وأج"" لاختيار أحسن رياضيي عام 2019
يمكنكم الإطلاع على فئات المسابقة و قائمة الأسماء المقترحة عبر الرابط التالي:

https://t.co/6qJz5SlpEN https://t.co/nzeIWfVziO",2019-12-29 14:34:27+00:00,APS_Algerie,35,0,,,Neutral
7,"""Ogg"" surveys to choose the best athletes in 2019 You can view the competition categories and the list of proposed names via the following link:   ","سبر آراء ""وأج"" لاختيار أحسن رياضيي عام 2019
يمكنكم الإطلاع على فئات المسابقة و قائمة الأسماء المقترحة عبر الرابط التالي:

https://t.co/6qJz5SlpEN https://t.co/zANkDTSo2y",2019-12-29 14:33:08+00:00,APS_Algerie,13,0,,,Neutral
8,"""Ogg"" surveys to choose the best athletes in 2019 You can view the competition categories and the list of suggested names  Via the following link:   ","سبر آراء ""وأج"" لاختيار أحسن رياضيي عام 2019
يمكنكم الإطلاع على فئات المسابقة و قائمة الأسماء المقترحة
 عبر الرابط التالي:

https://t.co/2r8UJdm5vD https://t.co/Vgl6HynNcP",2019-12-29 14:31:37+00:00,APS_Algerie,11,1,,,Neutral
9,"""Ogg"" surveys to choose the best athletes in 2019 You can view the competition categories and the list of proposed names via the following link:   ","سبر آراء ""وأج"" لاختيار أحسن رياضيي عام 2019
يمكنكم الإطلاع على فئات المسابقة و قائمة الأسماء المقترحة عبر الرابط التالي:

https://t.co/2r8UJdm5vD https://t.co/TZQXDQzxwC",2019-12-29 14:28:56+00:00,APS_Algerie,18,2,,,Neutral
10,Official information made public through press releases from the Presidency of the Republic via APS   ,"L'information officielle rendue public à travers des communiqués de la présidence de la République via l' #APS

https://t.co/ZTkboDGQAS https://t.co/J6TgJ61XED",2019-12-28 17:00:47+00:00,APS_Algerie,71,2,,['APS'],Neutral
11,"The official information is distributed through data from the Presidency of the Republic, which is published through the Algerian News Agency waj  ","المعلومة الرسمية توزع عبر بيانات من #رئاسة_الجمهورية تنشرعبر #وكالة_الأنباء_الجزائرية
#وأج
https://t.co/I299o3Srk1 https://t.co/u54feme5ZC",2019-12-28 16:23:24+00:00,APS_Algerie,239,32,,"['رئاسة_الجمهورية', 'وكالة_الأنباء_الجزائرية', 'وأج']",Neutral
