,Tweet,Original,Datetime,Username,Likes,Retweets,View,Hashtags,Sentiments
0,  The eighth session of the Egyptian   Algerian   Joint Higher Committee: Signing several agreements in various fields  ,"▶️ الدورة الثامنة للجنة العليا المصرية🇪🇬 الجزائرية 🇩🇿 المشتركة : التوقيع على عدة اتفاقيات في مختلف المجالات

https://t.co/2QXsww0Xvh",2022-06-29 21:26:38+00:00,APS_Algerie,27,3,,,Neutral
1,  Ceremony for raising the flags of the countries of the delegations participating in the  Mediterranean_Games  Oran_2022 ,▶️ مراسم رفع أعلام  بلدان الوفود المشاركة في #الألعاب_المتوسطية #وهران_2022 https://t.co/tO1ucN0sIo,2022-06-29 21:15:09+00:00,APS_Algerie,25,2,,"['الألعاب_المتوسطية', 'وهران_2022']",Neutral
2,Non-Aligned Movement Parliamentary Network: Boughali   holds talks in Baku   with Iranian delegation      ,"Réseau parlementaire du Mouvement des non-alignés: #Boughali 🇩🇿 s'entretient à #Bakou 🇦🇿 avec la délégation iranienne 🇮🇷

🔗https://t.co/sxXRQgDbHA https://t.co/2EIG3WNofQ",2022-06-29 20:38:30+00:00,APS_Algerie,21,2,,"['Boughali', 'Bakou']",Neutral
3,8th session of the Algerian-Egyptian high joint commission    : Benabderrahmane talks with his Egyptian counterpart    ,"8ème session de la haute commission mixte algéro-égyptienne 🇩🇿 🇪🇬: #Benabderrahmane s'entretient avec son homologue égyptien

🔗https://t.co/ntGhKBHYqS https://t.co/7iAlMtP3s9",2022-06-29 20:34:16+00:00,APS_Algerie,17,3,,['Benabderrahmane'],Neutral
4,Ben_Abdulrahman: The meeting of the Algerian  -Egyptian   Joint Higher Committee in Algiers is an opportunity to enhance cooperation and coordinate efforts     ,"#بن_عبد_الرحمان : اجتماع اللجنة العليا المشتركة الجزائرية 🇩🇿- المصرية 🇪🇬 بـ #الجزائر_العاصمة ، فرصة لتعزيز التعاون وتنسيق الجهود

🔗https://t.co/RMTRs5Byib https://t.co/R996WVpEID",2022-06-29 20:30:15+00:00,APS_Algerie,24,2,,"['بن_عبد_الرحمان', 'الجزائر_العاصمة']",Positive
5,Conference of the Parliamentary Network of the Non-Aligned Movement: Boghali   talks with an Iranian delegation   led by the Deputy Speaker of the Shura Council     ,"مؤتمر الشبكة البرلمانية لـ #حركة_عدم_الانحياز : #بوغالي 🇩🇿 يتحادث مع وفد إيراني 🇮🇷 بقيادة نائب رئيس مجلس الشورى

🔗https://t.co/qLrBCOezfu https://t.co/54vCRDlwKd",2022-06-29 20:25:17+00:00,APS_Algerie,26,3,,"['حركة_عدم_الانحياز', 'بوغالي']",Neutral
6,Meeting of the Algerian Higher Joint Committee   - Egyptian  : Bin_Abdul_Rahman talks with his Egyptian counterpart     ,"اجتماع اللجنة العليا المشتركة الجزائرية 🇩🇿 -المصرية 🇪🇬: #بن_عبد_الرحمان يتحادث مع نظيره المصري 

🔗https://t.co/qWq6w9qu12 https://t.co/9wviTSysBW",2022-06-29 19:05:55+00:00,APS_Algerie,34,4,,['بن_عبد_الرحمان'],Neutral
7,The Minister of Relations with Parliament presents the text related to the military reserve before the National Defense Committee     ,"وزيرة العلاقات مع البرلمان تعرض النص المتعلق بالاحتياط العسكري أمام لجنة الدفاع الوطني

🔗https://t.co/XsoS1uOcrE https://t.co/Z4ie2MGQZO",2022-06-29 18:51:02+00:00,APS_Algerie,22,1,,,Neutral
8,  They said about the games... from the Mediterranean Village ,▶️ قالوا عن الألعاب .. من القرية المتوسطية https://t.co/AMdx5yClZd,2022-06-29 18:21:22+00:00,APS_Algerie,33,3,,,Neutral
9,Sahrawi National Council  : Melilia_tragedy a new chapter of the Moroccan regime s crimes against African civilians   ,"المجلس الوطني الصحراوي 🇪🇭 : #مأساة_مليلية فصل جديد من جرائم النظام المغربي في حق مدنيين أفارقة

🔗https://t.co/pi4RtxHkSN",2022-06-29 18:19:37+00:00,APS_Algerie,29,5,,['مأساة_مليلية'],Negative
