,Tweet,Original,Datetime,Username,Likes,Retweets,View,Hashtags,Sentiments
0,End_of_year festivities: Taghit and Beni-Abbes destinations for thousands of tourists   ,"#Fêtes de #fin_d_nnée: Taghit et Beni-Abbes destinations de milliers de touristes

https://t.co/wL7WHQg5UX https://t.co/RQvH1Rrxcr",2018-12-31 16:01:51+00:00,APS_Algerie,8,2,,"['Fêtes', 'fin_d_nnée']",Neutral
1,Sonatrach: 02 agreements to develop the gas fields on the outskirts of Gassi-Touil   ,"#Sonatrach: 02 accords pour développer les champs gaziers de la périphérie de Gassi-Touil

https://t.co/19Ms1coVRk https://t.co/GIZAjA3yzV",2018-12-31 13:11:47+00:00,APS_Algerie,3,0,,['Sonatrach'],Neutral
2,The year 2018: the ratification of important bills and intensive activity of parliamentary_diplomacy   ,"سنة 2018: المصادقة على مشاريع قوانين هامة ونشاط مكثف #للدبلوماسية_البرلمانية

https://t.co/2z3r9R7cfB https://t.co/vG2ryMprUY",2018-12-31 13:01:28+00:00,APS_Algerie,1,1,,['للدبلوماسية_البرلمانية'],Neutral
3,Call to stand firm against corruption and cybercrime   ,"Appel à faire face avec fermeté contre la corruption et la #cybercriminalité

https://t.co/yJnp14YXPY https://t.co/1xjWXVocVZ",2018-12-31 13:00:07+00:00,APS_Algerie,0,0,,['cybercriminalité'],Neutral
4,International Day of Living Together in Peace: An Algerian initiative inspired by its history and principles   ,"اليوم العالمي للعيش معا في سلام: مباردة جزائرية مستوحاة من تاريخها ومن مبادئها     

https://t.co/ttydQ66Dlc https://t.co/3FNxykopX2",2018-12-29 18:36:03+00:00,APS_Algerie,1,0,,,Positive
5,Living_together_in_peace: an initiative of Algeria inspired by its history and its principles   ,"#Vivre_ensemble_en_paix: une initiative de l'#Algérie inspirée de son histoire et de ses principes

https://t.co/6WqJtFVytR https://t.co/bDuNjLQYQr",2018-12-29 18:34:56+00:00,APS_Algerie,10,6,,"['Vivre_ensemble_en_paix', 'Algérie']",Positive
6,Discounts The sales process at a discount for the winter season of 2019 will start according to the attached schedule across all states starting from January and extending until March 2019  ,"#تخفيضات عملية البيع بالتخفيض للموسم الشتوي لسنة 2019 ستنطلق حسب الجدول المرفق عبر كل الولايات إبتداءا من شهر يناير وتمتد إلى غاية شهر مارس سنة 2019
https://t.co/tP0CYer4P6 https://t.co/6STyH3lyLN",2018-12-29 14:42:35+00:00,APS_Algerie,1,1,,['تخفيضات'],Neutral
7,Half-renewal of the members of the National Assembly by the local elected   ,"تجديد نصفي #لأعضاء_مجلس_الأمة من قبل المنتخبين المحليين

https://t.co/Rsp5EhoPug https://t.co/CVcVVyWyqS",2018-12-29 12:36:43+00:00,APS_Algerie,1,0,,['لأعضاء_مجلس_الأمة'],Neutral
8,"Creation of new 500 DA and 1,000 DA banknotes and a 100 DA coin    ","Création de nouveaux billets de 500 DA et 1.000 DA et d'une pièce de monnaie de 100 DA 
 ➡️https://t.co/MUHT5v5vxa https://t.co/5LIWHtOeaX",2018-12-28 16:18:11+00:00,APS_Algerie,5,1,,,Neutral
9,President Bouteflika signs the loi_de_finances_2019 and chairs a meeting of the Council_of_Ministers   ,"Le président Bouteflika signe la #loi_de_finances_2019 et préside une réunion du #Conseil_des_ministres

https://t.co/HVwvTUI6ub https://t.co/xtxkwGsixG",2018-12-27 18:33:08+00:00,APS_Algerie,1,0,,"['loi_de_finances_2019', 'Conseil_des_ministres']",Neutral
10,The President of the Republic signs the Finance_Law_2019   ,"رئيس الجمهورية يوقع على #قانون_المالية_2019

https://t.co/PrufNeFrt8 https://t.co/Oe6NnM4wCV",2018-12-27 16:14:31+00:00,APS_Algerie,1,0,,['قانون_المالية_2019'],Neutral
11,"The President of the Republic, Abdelaziz Bouteflika, signed Thursday in Algiers the Loi_de_finances_2019  ","Le président de la République, Abdelaziz Bouteflika, a signé jeudi à Alger la #Loi_de_finances_2019
https://t.co/vPK1jD7AcS https://t.co/pnb4KebKoz",2018-12-27 16:08:05+00:00,APS_Algerie,0,0,,['Loi_de_finances_2019'],Neutral
12,Creating 14 new administrative districts in the major states   ,"استحداث 14 مقاطعة إدارية جديدة بالولايات الكبرى

https://t.co/D2G3t2qrPW https://t.co/DhaGnmDPcY",2018-12-27 15:21:32+00:00,APS_Algerie,1,2,,,Neutral
13,Algeria plans to negotiate a preferential trade agreement with ECOWAS   ,"L'#Algérie envisage la négociation sur l'#accord_commercial préférentiel avec la #CÉDÉAO

https://t.co/VdPt63WBwQ https://t.co/g6pD2nU0SP",2018-12-27 14:18:17+00:00,APS_Algerie,0,1,,"['Algérie', 'accord_commercial', 'CÉDÉAO']",Neutral
14,President Bouteflika chairs Thursday a Council of Ministers Algeria    ,"Le Président #Bouteflika préside jeudi un Conseil des ministres
#Algerie #الجزائر 
https://t.co/pacdAqMaVM https://t.co/mRk8qzgMNs",2018-12-27 13:45:44+00:00,APS_Algerie,0,0,,"['Bouteflika', 'Algerie', 'الجزائر']",Neutral
15,Algeria's resources promote investment in the circular_economy   ,"Les ressources de l'Algérie favorisent l'investissement dans l'#économie_circulaire

https://t.co/UKtgQCJoZ4 https://t.co/KFAqcul4Id",2018-12-26 18:34:11+00:00,APS_Algerie,8,2,,['économie_circulaire'],Positive
16,Seasonal _ Flu: Provision of a new share of vaccination   estimated at 370 thousand doses at the level of neighboring health institutions     ,"#أنفلونزا_موسمية: توفير حصة جديدة من #التلقيح💉 تقدر ب370 ألف جرعة على مستوى مؤسسات الصحة الجوارية⬇️

https://t.co/XKvFap9SW2 https://t.co/nKzHr8bqhE",2018-12-26 17:05:43+00:00,APS_Algerie,0,0,,"['أنفلونزا_موسمية', 'التلقيح']",Neutral
