,Tweet,Original,Datetime,Username,Likes,Retweets,View,Hashtags,Sentiments
0,visa France TLScontact VFS Two companies selected by the French Embassy in Algeria for the issuance of Schengen visas VSF and TLS contact ,#visa #France #TLScontact #VFS Deux sociétés retenues par l'ambassade de France en Algérie pour la  délivrance des visas Schengen VSF et TLS contact https://t.co/IEp5tk8LLB,2017-12-27 19:08:55+00:00,APS_Algerie,4,2,,"['visa', 'France', 'TLScontact', 'VFS']",Neutral
1,"January paid vacation starting January 12, 2018 ",#يناير  عطلة مدفوع الأجر  ابتداءا من 12 جانفي 2018 https://t.co/5WuIRzvTHH,2017-12-27 17:43:09+00:00,APS_Algerie,36,13,,['يناير'],Neutral
2,"yennayer Council of Ministers: Yennayer day off and paid from January 12, 2018 ",#yennayer Conseil des ministres: Yennayer journée chômée et payée dès le 12 janvier 2018 https://t.co/aPATYfSVck,2017-12-27 17:37:29+00:00,APS_Algerie,8,6,,['yennayer'],Neutral
3,Triple _ government _ meeting Non-Traditional Finance: Fiscal Year 2017 ended without major difficulties  ,"#حكومة_ثلاثية_اجتماع
#التمويل غير التقليدي: اختتام السنة المالية 2017 دون صعوبات أساسية
https://t.co/0s5hnEKVUN https://t.co/dDVwGTz4gV",2017-12-23 14:46:10+00:00,APS_Algerie,0,0,,"['حكومة_ثلاثية_اجتماع', 'التمويل']",Neutral
4,What category of content do you like the most on our website?,Quelle est la catégorie de contenus que vous appréciez le plus sur notre site web?,2017-12-20 13:17:42+00:00,APS_Algerie,5,2,,,Positive
5,Foreign trade: New device to regulate imports from 2018 ,Commerce extérieur: Nouveau dispositif pour encadrer les importations dès 2018 https://t.co/Hx1ybT2c7B,2017-12-20 10:39:53+00:00,APS_Algerie,4,1,,,Neutral
6,Parliament_diplomacy_memorial_revival Parliament honors the President of the Republic for his efforts in strengthening parliamentary work and consolidating parliamentary diplomacy  ,"برلمان_دبلوماسية_ذكرى_إحياء 
البرلمان يكرم رئيس الجمهورية نظير جهوده في تعزيز العمل البرلماني وتكريس  الدبلوماسية البرلمانية
https://t.co/kPKeMYISLa https://t.co/WbTGapkgKa",2017-12-17 15:59:15+00:00,APS_Algerie,3,0,,,Positive
7,parliament _ diplomacy _ memory _ revival The National People's Assembly commemorates the fortieth anniversary of parliamentary diplomacy  ,"#برلمان_دبلوماسية_ذكرى_إحياء
#المجلس الشعبي الوطني يحيي الذكرى الأربعين للدبلوماسية البرلمانية
https://t.co/NiU8DKwoW2 https://t.co/Ore4jme03N",2017-12-17 15:56:05+00:00,APS_Algerie,0,0,,"['برلمان_دبلوماسية_ذكرى_إحياء', 'المجلس']",Neutral
8, A gathering of political parties and civil society organizations in solidarity with the Palestinian people in the Oval Hall of the Mohammed Boudiaf sports complex ,#تجمع للاحزاب السياسية و منظمات المجتمع المدني تضامنا مع الشعب الفلسطيني  بالقاعة البيضاوية بالمركب الرياضي محمد بوضياف https://t.co/AMsSejXorx,2017-12-16 10:20:06+00:00,APS_Algerie,6,0,,['تجمع'],Neutral
9,"Algiers Rally, currently at the Dome of the Mohamed Boudiaf sports complex in Algiers, in support of the struggle of the Palestinian people and to denounce the American decision to move their embassy to occupied El-Quds  DD5aHFjyRO","#Alger Rassemblement, en ce moment à la Coupole du complexe sportif Mohamed Boudiaf d’Alger, de soutien à la lutte du peuple palestinien et pour denoncer la décision américaine de déplacer leur ambassade à El-Qods occupée https://t.co/DD5aHFjyRO",2017-12-16 09:51:31+00:00,APS_Algerie,6,1,,['Alger'],Neutral
10,Support meeting organized at the Palestine Embassy in Algiers against the US President's decision to transfer the US Embassy to occupied ElQods ,Rencontre de soutien organisée à l'ambassade de #Palestine à Alger contre la décision du président américain de transférer l'ambassade des Etats Unis à #ElQods occupée https://t.co/MgewM3clP6,2017-12-12 13:49:15+00:00,APS_Algerie,6,2,,"['Palestine', 'ElQods']",Neutral
11,satellite: Algerian satellite Alcomsat-1 launched from China  ,"#satellite: Lancement du satellite algérien Alcomsat-1 depuis la Chine
https://t.co/sQRzyY2rag https://t.co/dNW8CBhLCT",2017-12-10 19:10:46+00:00,APS_Algerie,11,5,,['satellite'],Neutral
12,Satellite: The successful launch of the Algerian communications satellite AlcomSat 1 ,# قمر_ اصطناعي: إطلاق القمر الاصطناعي الجزائري للإتصالات ألكوم سات 1 بنجاح https://t.co/x3fGiWHwFB,2017-12-10 19:08:07+00:00,APS_Algerie,2,0,,,Positive
13,"Europe President Bouteflika is ""perfectly fit"" (Le Drian) president  ","#Europe Le président Bouteflika est ""parfaitement en forme"" (Le Drian)
#president https://t.co/IoebB72iWA https://t.co/e4dt6ZbXif",2017-12-08 16:49:12+00:00,APS_Algerie,1,2,,"['Europe', 'president']",Positive
