,Tweet,Original,Datetime,Username,Likes,Retweets,View,Hashtags,Sentiments
0,Law_of_Finances_2021: a series of measures in favor of investment and exports   ,"Loi_de_Finances_2021 : une série de mesures en faveur de l'investissement et des exportations

https://t.co/jPyWOvbMY6 https://t.co/nDjcyd7BqO",2020-12-31 19:30:05+00:00,APS_Algerie,19,0,,,Neutral
1,Covid_19: partial home confinement renewed in 29 wilayas of the country   ,"#Covid_19 : le confinement partiel à domicile reconduit dans 29 wilayas du pays

https://t.co/kJIr61R3nf https://t.co/FF0ExEODk4",2020-12-31 19:03:17+00:00,APS_Algerie,3,0,,['Covid_19'],Neutral
2,"Land _ transportation between states: a gradual resumption of activity, starting Friday  ","#النقل_البري ما بين الولايات: استئناف تدريجي للنشاط ابتداء من يوم الجمعة 
https://t.co/KeZNIUmNAc https://t.co/g9jp55yICN",2020-12-31 18:59:50+00:00,APS_Algerie,14,1,,['النقل_البري'],Neutral
3,COVID_19 | Re-extending the home partial quarantine measures in 29 states for a period of 15 days  ,"#كوفيد_19 | إعادة تمديد تدابير #الحجر_الجزئي_المنزلي في 29 ولاية لمدة 15 يوما
https://t.co/wjQrzvLfxQ https://t.co/tu49VWDWwV",2020-12-31 18:57:41+00:00,APS_Algerie,7,3,,"['كوفيد_19', 'الحجر_الجزئي_المنزلي']",Neutral
4,Inter-wilaya road transport: gradual resumption from Friday   ,"Transport routier inter-wilaya : reprise progressive dès vendredi

https://t.co/DqW5wbIcds https://t.co/SACgZrRpNO",2020-12-31 18:35:09+00:00,APS_Algerie,8,1,,,Neutral
5,COVID_19 | Algeria signs a deal with a Russian informant to acquire the vaccine against Coronavirus  ,"#كوفيد_19 | #الجزائر توقع صفقة مع مخبر روسي لاقتناء اللقاح ضد #فيروس_كورونا 
https://t.co/tpJ0WQkVUq https://t.co/LZy66ZnfYg",2020-12-31 18:28:27+00:00,APS_Algerie,30,6,,"['كوفيد_19', 'الجزائر', 'فيروس_كورونا']",Neutral
6,National personalities and bodies express their satisfaction with President Tebboune's return to the homeland  ,"شخصيات وهيئات وطنية تعبر عن إرتياحها لعودة #الرئيس_تبون إلى أرض الوطن
https://t.co/gtb5SlfjEe https://t.co/4AFP6gSxvM",2020-12-31 18:09:33+00:00,APS_Algerie,57,1,,['الرئيس_تبون'],Positive
7,"Covid_19: 299 new infections, 272 recoveries and 5 deaths were recorded   ",#كوفيد_19 : تسجيل 299 إصابة جديدة، 272 حالة شفاء و 5 وفيات” https://t.co/sEaidgbT5D https://t.co/xgWO3zkQde,2020-12-31 17:03:03+00:00,APS_Algerie,10,0,,['كوفيد_19'],Negative
8,President Tebboune signs the Loi_de_finances_2021   ,"Le Président #Tebboune signe la #Loi_de_finances_2021

https://t.co/9xraG7NwoH https://t.co/VLeZQhEUiV",2020-12-31 15:43:48+00:00,APS_Algerie,51,6,,"['Tebboune', 'Loi_de_finances_2021']",Neutral
9,President _ Tebboune signs the Finance _ Law _ 2021  ,"#الرئيس_تبون يوقع على #قانون_المالية_2021 
https://t.co/Nvaonhaxaq https://t.co/vW1AVPCfXr",2020-12-31 15:30:11+00:00,APS_Algerie,69,4,,"['الرئيس_تبون', 'قانون_المالية_2021']",Neutral
10," Sonatrach: an investment program worth $40 billion for the next five years,   ",“سوناطراك: برنامج استثماري بقيمة 40 مليار دولار للسنوات الخمس المقبلة ” https://t.co/rAG6hfcGV3 https://t.co/7WhNls6X8X,2020-12-31 14:41:19+00:00,APS_Algerie,26,2,,,Neutral
11," Snowfall on the heights of the north of the country, starting from Friday.   ",“تساقط الثلوج على مرتفعات شمال الوطن اعتبارًا من يوم الجمعة” https://t.co/lsTz6JhBTY https://t.co/hEcjHG1nES,2020-12-31 14:38:57+00:00,APS_Algerie,23,1,,,Neutral
12,Sonatrach: a $40 billion investment program over five years   ,"#Sonatrach : un programme d'investissement de 40 mds dollars sur cinq ans

https://t.co/hBOltnmYZJ https://t.co/uridBDztWR",2020-12-31 13:47:16+00:00,APS_Algerie,11,0,,['Sonatrach'],Neutral
13,Falls_of_snow on the reliefs of more than 900 meters in the north of the country from Friday  ,"#Chutes_de_neige sur les reliefs de plus de 900 mètres au nord du pays à partir de vendredi
https://t.co/yCj5D7YsOQ https://t.co/KtKQdZvyl5",2020-12-31 12:43:01+00:00,APS_Algerie,15,2,,['Chutes_de_neige'],Neutral
