,Tweet,Original,Datetime,Username,Likes,Retweets,View,Hashtags,Sentiments
0,Khenchela: an ambitious program to renew the vegetation cover in 2022  ,"#خنشلة: برنامج طموح لتجديد #الغطاء_النباتي في 2022
https://t.co/ljqUFdJIhA https://t.co/7wKdNlGkLD",2021-12-31 21:00:02+00:00,APS_Algerie,60,1,,"['خنشلة', 'الغطاء_النباتي']",Positive
1,Tamanrasset: Al-Ahggar attracts many national tourists  ,"#تمنراست: #الأهقار يجلب السياح الوطنيين بكثرة  
https://t.co/JvrVOiuGD5 https://t.co/Uolse17Qha",2021-12-31 20:30:00+00:00,APS_Algerie,104,7,,"['تمنراست', 'الأهقار']",Neutral
2,President of the Republic Abdelmadjid Tebboune: 2022 will be the year of economic take-off in Algeria  ,"رئيس الجمهورية #عبد_المجيد_تبون: 2022 ستكون سنة الاقلاع الاقتصادي في الجزائر 
https://t.co/0bP3z5lSJa https://t.co/zaWGnv8U9P",2021-12-31 19:38:21+00:00,APS_Algerie,65,1,,['عبد_المجيد_تبون'],Positive
3,"Message from the President of the Republic, Abdel Majeed Tebboune, on the occasion of the New Year 2022  ","رسالة رئيس الجمهورية #عبد_المجيد_تبون بمناسبة حلول السنة الميلادية الجديدة 2022
https://t.co/2BjL4MgfZt https://t.co/GroiyT0OFd",2021-12-31 19:33:11+00:00,APS_Algerie,39,1,,['عبد_المجيد_تبون'],Neutral
4,Prime Minister:  Finance_Law 2022 is considered a  revolution  in the field of tax reform ,"الوزير الأول : #قانون_المالية 2022 يعتبر ""ثورة"" في مجال الاصلاح الضريبي https://t.co/lGxL0My9iu",2021-12-31 19:05:21+00:00,APS_Algerie,50,3,,['قانون_المالية'],Positive
5,Ouargla: about 180 participants in the sand skating festival ,ورقلة : نحو 180 مشارك في #مهرجان_التزحلق على #الرمال https://t.co/A1gNWrcBS9,2021-12-31 18:48:40+00:00,APS_Algerie,36,2,,"['مهرجان_التزحلق', 'الرمال']",Neutral
6,Prime Minister: The World Bank's report on Algeria contradicts recent reports of this body ,الوزير الأول : تقرير #البنك_العالمي حول الجزائر جاء متناقضا مع تقارير حديثة لهذه الهيئة https://t.co/bqTYL5Fvr2,2021-12-31 18:40:56+00:00,APS_Algerie,51,3,,['البنك_العالمي'],Negative
7,"Djelfa: Honoring the researcher Abbas_Shaddad, winner of several scientific awards abroad ",الجلفة : تكريم الباحث #عباس_شداد الحائز على عدة تتويجات علمية بالخارج https://t.co/X3lEjQ2hWV,2021-12-31 18:33:58+00:00,APS_Algerie,105,7,,['عباس_شداد'],Positive
8,Promising success of maize cultivation and heading for rapeseed in Batna  ,"Succès prometteur de la culture du #maïs et cap sur le colza à #Batna
https://t.co/iN0LEu3R86 https://t.co/vvU5D9hbGE",2021-12-31 18:28:33+00:00,APS_Algerie,23,1,,"['maïs', 'Batna']",Positive
9,Khenchela: an ambitious program to reforest burnt forests in 2022  ,"#Khenchela: un programme ambitieux pour #reboiser en 2022 les forêts incendiées
https://t.co/O8hpO9dGjW https://t.co/HWje77XCji",2021-12-31 18:26:31+00:00,APS_Algerie,26,1,,"['Khenchela', 'reboiser']",Neutral
